LS1,LS2
45.574877,122.139788
45.970009,121.995571
46.525935,123.661663
45.800653,124.08629
45.995906,123.687594
44.63559,121.898554
47.391426,124.865519
47.828371,122.445567
47.498974,122.960415
46.578499,122.737544
46.47586,122.224535
46.91958,119.63756
46.474906,122.605848
45.164095,119.456185
45.974539,121.655421
45.910532,119.366733
45.174648,117.575524
45.292677,118.240628
44.966882,117.437381
42.896155,113.926608
